#OTU ID	sample129	sample99	sample104	sample127	sample118	sample98	sample137	sample117	sample125	sample122	sample138	sample126	sample147	sample143	sample128	sample146	sample141	sample145	sample131	sample136	sample132	sample159	sample124	sample106	sample97	sample155	sample140	sample151	sample158	sample144	sample123	sample100	sample102	sample135	sample139	sample134	sample112	sample114	sample101	sample150	sample163	sample154	sample111	sample108	sample107	sample120	sample160	sample157	sample115	sample109	sample116	sample121	sample113	sample105	sample119	sample110	sample149	sample133	sample142	sample148	sample156	sample103	sample161	sample152	sample165	sample164	sample130	sample162	sample91	sample153	sample74	sample55	sample50	sample63	sample87	sample93	sample45	sample2	sample62
BOTU_142	22	142	318	97	129	39	190	176	82	92	228	168	159	161	82	208	117	118	56	217	138	35	132	99	33	0	111	9	36	199	159	280	399	69	132	73	95	35	279	120	0	173	61	21	52	95	68	43	33	122	39	125	54	8	63	58	79	125	115	8	94	156	0	11	88	0	19	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_428	10	25	226	12	30	18	29	22	10	24	39	10	17	62	16	30	42	14	10	33	22	27	14	22	28	112	35	8	22	68	49	157	207	42	38	23	47	15	139	25	0	70	39	4	9	18	56	17	28	67	17	24	20	9	24	39	17	36	39	3	46	132	0	13	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_7	842	1	52	677	1181	1	430	4	590	338	526	309	12127	311	597	383	450	269	1202	451	533	0	1347	109	1	334	56	6	0	464	404	297	12	959	2385	108	353	8558	37	2749	68	221	34	33	0	12786	42	154	128	114	5	300	18619	1321	9	64	676	152	66	10439	60	415	0	0	0	1266	639	0	3	0	0	0	0	0	0	0	0	0	0
BOTU_7755	0	1	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3134	104	45	41	367	70	71	294	41	284	93	208	374	146	105	201	117	48	33	46	191	71	31	386	32	32	40	26	7	42	48	138	31	58	65	107	66	30	97	21	105	53	0	22	24	37	30	182	52	12	42	23	189	71	36	24	15	84	77	111	14	0	34	0	12	67	0	72	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3226	3	0	4	0	4	0	2	0	0	6	0	0	7	2	1	0	2	0	0	0	3	3	3	0	0	0	2	0	10	0	1	2	1	0	3	5	1	0	0	2	0	0	2	2	0	6	0	2	5	3	2	1	3	0	0	1	1	2	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1430	12	25	27	5	1	5	1	6	12	11	7	14	8	2	11	4	1	10	7	4	9	4	7	6	2	0	0	1	7	4	15	28	17	4	8	6	16	1	27	4	0	0	8	0	4	4	1	9	1	4	4	6	6	9	4	5	2	5	2	0	0	14	0	5	0	14	23	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_585	36	5	133	36	17	12	59	45	46	73	34	66	17	24	41	26	21	22	9	23	24	1	59	1	5	25	2	2	1	12	139	138	108	39	17	8	66	0	118	14	0	2	22	0	0	13	0	1	18	2	1	106	0	8	7	0	60	24	21	0	0	53	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_181	78	82	103	42	110	186	65	74	155	106	109	131	40	52	103	15	79	13	90	112	109	182	84	36	198	1	71	53	264	36	148	142	105	53	74	122	214	31	130	31	0	12	86	43	51	130	80	98	93	94	114	131	145	46	0	60	66	70	55	28	0	84	0	147	10	0	54	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_454	128	45	41	25	25	22	59	10	31	54	90	68	32	29	78	41	14	13	24	28	34	8	85	18	3	0	9	6	6	46	78	23	35	39	45	21	28	1	19	33	0	0	13	27	0	16	28	15	16	7	18	121	17	7	14	0	165	27	21	7	67	29	0	3	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_8015	37	6	13	29	40	4	6	18	54	40	7	43	12	9	45	4	13	5	42	15	44	36	46	16	14	0	8	32	77	11	60	5	12	14	27	52	74	5	10	5	0	0	38	28	37	40	7	39	61	31	67	72	37	22	1	29	5	37	3	0	0	11	0	38	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_37	342	15	65	367	105	45	684	62	242	251	488	319	298	319	281	328	276	119	281	303	381	50	409	78	52	15	148	18	53	454	311	60	69	345	680	126	57	103	46	383	103	145	36	34	40	207	102	89	101	129	90	343	120	89	14	74	261	249	144	138	116	56	0	16	12	569	89	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_119	104	54	273	74	134	54	175	132	66	102	214	102	61	119	105	128	124	114	65	103	140	39	95	68	46	20	86	11	42	178	136	241	275	158	235	47	53	49	215	138	13	79	72	8	18	80	109	33	67	127	42	146	32	0	59	59	149	92	107	36	5	175	0	15	46	30	24	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_858	31	0	10	14	0	0	49	0	17	19	39	37	7	8	34	10	3	0	1	32	12	0	53	0	0	0	1	0	0	0	23	6	8	13	10	5	6	0	9	5	0	0	0	0	0	1	0	1	2	0	0	26	0	0	0	0	13	7	0	6	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_21	582	60	52	879	37	35	949	26	602	197	596	543	365	447	449	275	395	46	489	236	264	3	1258	42	6	0	57	5	1	175	379	16	26	1060	1495	156	180	23	17	116	179	86	13	0	7	59	2	92	130	103	2	374	55	2	25	47	209	285	90	119	0	38	0	0	36	275	381	0	2	0	0	0	0	0	0	0	0	0	0
