OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
BOTU_10122	Bacteria	1.0	Verrucomicrobia	0.99	Spartobacteria	0.96	NA	NA	NA	NA	NA	NA	NA	NA	Spartobacteria_genera_incertae_sedis	0.83
BOTU_10123	Bacteria	1.0	Acidobacteria	1.0	Acidobacteria_Gp6	1.0	NA	NA	NA	NA	NA	NA	NA	NA	Gp6	1.0
BOTU_10124	Bacteria	1.0	Proteobacteria	0.61	Deltaproteobacteria	0.51	NA	NA	Desulfobacterales	0.22	NA	NA	Desulfobacteraceae	0.22	Desulfatitalea	0.03
BOTU_10125	Bacteria	1.0	Actinobacteria	0.77	Actinobacteria	0.77	Actinobacteridae	0.59	Actinomycetales	0.57	Pseudonocardineae	0.19	Pseudonocardiaceae	0.19	Thermotunica	0.09
BOTU_10126	Bacteria	1.0	Actinobacteria	0.99	Actinobacteria	0.99	Rubrobacteridae	0.99	Gaiellales	0.99	NA	NA	Gaiellaceae	0.99	Gaiella	0.99
BOTU_10127	Bacteria	1.0	Proteobacteria	1.0	Deltaproteobacteria	1.0	NA	NA	Myxococcales	0.98	Cystobacterineae	0.98	Cystobacteraceae	0.41	Anaeromyxobacter	0.28
BOTU_10128	Bacteria	1.0	Gemmatimonadetes	0.42	Gemmatimonadetes	0.42	NA	NA	Gemmatimonadales	0.42	NA	NA	Gemmatimonadaceae	0.42	Gemmatimonas	0.42
BOTU_10129	Bacteria	0.99	Proteobacteria	0.47	Deltaproteobacteria	0.36	NA	NA	Myxococcales	0.14	Cystobacterineae	0.14	Myxococcaceae	0.12	Aggregicoccus	0.09
BOTU_10130	Bacteria	0.98	Planctomycetes	0.05	Planctomycetia	0.05	NA	NA	Planctomycetales	0.04	NA	NA	Planctomycetaceae	0.04	Pirellula	0.03
BOTU_10131	Bacteria	0.99	Proteobacteria	0.4	Deltaproteobacteria	0.38	NA	NA	Myxococcales	0.33	Cystobacterineae	0.31	Cystobacteraceae	0.22	Melittangium	0.12
BOTU_10132	Bacteria	0.99	Proteobacteria	0.81	Alphaproteobacteria	0.57	NA	NA	Sphingomonadales	0.07	NA	NA	Sphingomonadaceae	0.07	Sandarakinorhabdus	0.06
BOTU_10133	Bacteria	1.0	Proteobacteria	0.87	Gammaproteobacteria	0.86	NA	NA	Thiotrichales	0.2	NA	NA	Thiotrichales_incertae_sedis	0.17	Fangia	0.17
BOTU_10134	Bacteria	0.98	Planctomycetes	0.31	Phycisphaerae	0.2	NA	NA	Phycisphaerales	0.17	NA	NA	Phycisphaeraceae	0.17	Phycisphaera	0.17
BOTU_10135	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Pseudonocardineae	0.91	Pseudonocardiaceae	0.91	Pseudonocardia	0.63
BOTU_10136	Bacteria	1.0	Actinobacteria	0.57	Actinobacteria	0.53	Rubrobacteridae	0.4	Solirubrobacterales	0.39	NA	NA	Conexibacteraceae	0.21	Conexibacter	0.21
BOTU_10137	Bacteria	0.95	Verrucomicrobia	0.06	Opitutae	0.06	NA	NA	Puniceicoccales	0.06	NA	NA	Puniceicoccaceae	0.06	Cerasicoccus	0.05
BOTU_10138	Bacteria	1.0	Proteobacteria	0.92	Alphaproteobacteria	0.37	NA	NA	Rhodospirillales	0.3	NA	NA	Acetobacteraceae	0.24	Paracraurococcus	0.17
BOTU_10139	Archaea	0.79	Pacearchaeota	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pacearchaeota Incertae Sedis AR13	0.6
BOTU_10140	Bacteria	1.0	Chlamydiae	0.99	Chlamydiia	0.99	NA	NA	Chlamydiales	0.99	NA	NA	Parachlamydiaceae	0.86	Parachlamydia	0.45
BOTU_10141	Bacteria	0.83	Chloroflexi	0.28	Thermomicrobia	0.23	NA	NA	Thermomicrobiales	0.15	NA	NA	Thermomicrobiaceae	0.15	Thermorudis	0.14
BOTU_10142	Bacteria	1.0	Proteobacteria	0.95	Deltaproteobacteria	0.93	NA	NA	Syntrophobacterales	0.43	NA	NA	Syntrophaceae	0.16	Desulfomonile	0.16
BOTU_10143	Bacteria	1.0	Proteobacteria	0.74	Deltaproteobacteria	0.71	NA	NA	Myxococcales	0.64	Nannocystineae	0.39	Nannocystaceae	0.3	Enhygromyxa	0.11
BOTU_10144	Bacteria	1.0	Verrucomicrobia	0.96	Spartobacteria	0.82	NA	NA	NA	NA	NA	NA	NA	NA	Spartobacteria_genera_incertae_sedis	0.76
BOTU_10145	Bacteria	0.99	Chloroflexi	0.74	Caldilineae	0.69	NA	NA	Caldilineales	0.69	NA	NA	Caldilineaceae	0.69	Litorilinea	0.46
BOTU_10146	Bacteria	1.0	Gemmatimonadetes	0.23	Gemmatimonadetes	0.23	NA	NA	Gemmatimonadales	0.23	NA	NA	Gemmatimonadaceae	0.23	Gemmatimonas	0.23
BOTU_10147	Bacteria	1.0	Chloroflexi	0.35	Thermomicrobia	0.33	Sphaerobacteridae	0.32	Sphaerobacterales	0.32	Sphaerobacterineae	0.32	Sphaerobacteraceae	0.32	Sphaerobacter	0.3
BOTU_10148	Bacteria	1.0	Bacteroidetes	1.0	Cytophagia	1.0	NA	NA	Cytophagales	1.0	NA	NA	NA	NA	Ohtaekwangia	0.77
BOTU_10149	Bacteria	1.0	Proteobacteria	0.9	Deltaproteobacteria	0.78	NA	NA	Desulfobacterales	0.63	NA	NA	Desulfobacteraceae	0.63	Desulforegula	0.36
BOTU_10150	Bacteria	1.0	Proteobacteria	0.87	Deltaproteobacteria	0.83	NA	NA	Desulfobacterales	0.33	NA	NA	Desulfobacteraceae	0.33	Desulforegula	0.18
BOTU_10151	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Rubrobacteridae	1.0	Solirubrobacterales	1.0	NA	NA	Conexibacteraceae	0.77	Conexibacter	0.77
BOTU_10152	Bacteria	0.97	Firmicutes	0.3	Clostridia	0.27	NA	NA	Clostridiales	0.24	NA	NA	Ruminococcaceae	0.07	Ethanoligenens	0.04
BOTU_10153	Bacteria	0.98	Proteobacteria	0.72	Deltaproteobacteria	0.54	NA	NA	Syntrophobacterales	0.3	NA	NA	Syntrophaceae	0.28	Desulfomonile	0.28
BOTU_10154	Bacteria	1.0	Acidobacteria	1.0	Acidobacteria_Gp6	1.0	NA	NA	NA	NA	NA	NA	NA	NA	Gp6	1.0
BOTU_10155	Bacteria	0.98	Actinobacteria	0.16	Actinobacteria	0.16	Nitriliruptoridae	0.11	Nitriliruptorales	0.11	NA	NA	Nitriliruptoraceae	0.11	Nitriliruptor	0.11
BOTU_10156	Bacteria	0.91	Proteobacteria	0.13	Betaproteobacteria	0.12	NA	NA	Burkholderiales	0.11	NA	NA	Comamonadaceae	0.07	Macromonas	0.03
BOTU_10157	Bacteria	0.99	Spirochaetes	0.08	Spirochaetia	0.08	NA	NA	Spirochaetales	0.08	NA	NA	Leptospiraceae	0.08	Leptonema	0.08
BOTU_10158	Bacteria	0.98	Firmicutes	0.23	Clostridia	0.11	NA	NA	Clostridiales	0.09	NA	NA	Heliobacteriaceae	0.06	Heliobacillus	0.06
BOTU_10159	Bacteria	1.0	Proteobacteria	0.43	Deltaproteobacteria	0.21	NA	NA	Desulfovibrionales	0.12	NA	NA	Desulfovibrionaceae	0.11	Bilophila	0.07
BOTU_10160	Bacteria	1.0	candidate division WPS-1	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WPS-1_genera_incertae_sedis	0.98
BOTU_10161	Bacteria	1.0	Verrucomicrobia	0.99	Spartobacteria	0.91	NA	NA	NA	NA	NA	NA	NA	NA	Spartobacteria_genera_incertae_sedis	0.69
BOTU_10162	Bacteria	1.0	Firmicutes	0.76	Clostridia	0.52	NA	NA	Clostridiales	0.44	NA	NA	Ruminococcaceae	0.2	Cellulosibacter	0.08
BOTU_10163	Bacteria	1.0	Planctomycetes	0.51	Planctomycetia	0.34	NA	NA	Planctomycetales	0.29	NA	NA	Planctomycetaceae	0.29	Aquisphaera	0.11
BOTU_10164	Bacteria	0.98	Proteobacteria	0.68	Alphaproteobacteria	0.3	NA	NA	Rhodospirillales	0.3	NA	NA	Acetobacteraceae	0.3	Acidicaldus	0.15
BOTU_10165	Bacteria	1.0	Proteobacteria	1.0	Gammaproteobacteria	1.0	NA	NA	Legionellales	0.98	NA	NA	Coxiellaceae	0.98	Aquicella	0.98
BOTU_10166	Bacteria	1.0	Actinobacteria	0.98	Actinobacteria	0.98	Rubrobacteridae	0.98	Solirubrobacterales	0.88	NA	NA	Conexibacteraceae	0.84	Conexibacter	0.84
BOTU_10167	Bacteria	0.97	Proteobacteria	0.2	Deltaproteobacteria	0.07	NA	NA	Desulfuromonadales	0.02	NA	NA	Geobacteraceae	0.02	Geopsychrobacter	0.02
BOTU_10168	Bacteria	1.0	Proteobacteria	1.0	Alphaproteobacteria	0.97	NA	NA	Rhizobiales	0.6	NA	NA	Rhodobiaceae	0.43	Rhodoligotrophos	0.23
BOTU_10169	Archaea	0.79	Crenarchaeota	0.3	Thermoprotei	0.3	NA	NA	Thermoproteales	0.2	NA	NA	Thermoproteaceae	0.2	Thermoproteus	0.13
BOTU_10170	Bacteria	0.97	Firmicutes	0.5	Clostridia	0.27	NA	NA	Clostridiales	0.27	NA	NA	Clostridiaceae 1	0.16	Fervidicella	0.13
BOTU_10171	Archaea	0.92	Pacearchaeota	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pacearchaeota Incertae Sedis AR13	0.89
BOTU_10172	Bacteria	1.0	Planctomycetes	0.95	Planctomycetia	0.95	NA	NA	Planctomycetales	0.94	NA	NA	Planctomycetaceae	0.94	Gemmata	0.69
BOTU_10173	Archaea	0.92	Pacearchaeota	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pacearchaeota Incertae Sedis AR13	0.76
BOTU_10174	Bacteria	1.0	Proteobacteria	0.99	Gammaproteobacteria	0.93	NA	NA	Xanthomonadales	0.57	NA	NA	Sinobacteraceae	0.21	Fontimonas	0.14
BOTU_10175	Bacteria	0.93	Elusimicrobia	0.1	Elusimicrobia	0.08	NA	NA	Elusimicrobiales	0.08	NA	NA	Elusimicrobiaceae	0.08	Elusimicrobium	0.08
BOTU_10176	Bacteria	0.98	Planctomycetes	0.88	Planctomycetia	0.88	NA	NA	Planctomycetales	0.86	NA	NA	Planctomycetaceae	0.86	Aquisphaera	0.17
BOTU_10177	Bacteria	1.0	Actinobacteria	0.89	Actinobacteria	0.86	Rubrobacteridae	0.69	Solirubrobacterales	0.67	NA	NA	Solirubrobacteraceae	0.57	Solirubrobacter	0.57
BOTU_10178	Bacteria	0.94	Verrucomicrobia	0.25	Subdivision3	0.14	NA	NA	NA	NA	NA	NA	NA	NA	Limisphaera	0.14
BOTU_10179	Bacteria	1.0	Bacteroidetes	0.25	Sphingobacteriia	0.19	NA	NA	Sphingobacteriales	0.19	NA	NA	Rhodothermaceae	0.19	Rubricoccus	0.13
BOTU_10180	Bacteria	1.0	Proteobacteria	1.0	Deltaproteobacteria	1.0	NA	NA	Desulfuromonadales	1.0	NA	NA	Geobacteraceae	0.96	Geobacter	0.96
BOTU_10181	Bacteria	1.0	Actinobacteria	0.99	Actinobacteria	0.99	Actinobacteridae	0.99	Actinomycetales	0.99	Micrococcineae	0.93	Intrasporangiaceae	0.66	Terracoccus	0.38
BOTU_10182	Bacteria	0.98	Planctomycetes	0.94	Planctomycetia	0.94	NA	NA	Planctomycetales	0.94	NA	NA	Planctomycetaceae	0.94	Aquisphaera	0.63
BOTU_10183	Bacteria	1.0	Proteobacteria	0.9	Deltaproteobacteria	0.48	NA	NA	Desulfarculales	0.27	NA	NA	Desulfarculaceae	0.27	Desulfocarbo	0.27
BOTU_10184	Bacteria	1.0	Proteobacteria	0.76	Alphaproteobacteria	0.62	NA	NA	Rhodospirillales	0.48	NA	NA	Rhodospirillaceae	0.48	Dongia	0.45
BOTU_10185	Bacteria	1.0	Acidobacteria	1.0	Acidobacteria_Gp6	1.0	NA	NA	NA	NA	NA	NA	NA	NA	Gp6	1.0
BOTU_10186	Bacteria	1.0	Proteobacteria	0.98	Gammaproteobacteria	0.97	NA	NA	Legionellales	0.83	NA	NA	Coxiellaceae	0.83	Aquicella	0.83
BOTU_10187	Bacteria	1.0	Planctomycetes	0.97	Planctomycetia	0.97	NA	NA	Planctomycetales	0.97	NA	NA	Planctomycetaceae	0.97	Thermogutta	0.76
BOTU_10188	Bacteria	1.0	Armatimonadetes	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Armatimonadetes_gp4	0.89
BOTU_10189	Bacteria	1.0	Spirochaetes	1.0	Spirochaetia	1.0	NA	NA	Spirochaetales	1.0	NA	NA	Spirochaetaceae	1.0	Treponema	1.0
BOTU_10190	Bacteria	1.0	Armatimonadetes	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Armatimonadetes_gp4	0.32
BOTU_10191	Bacteria	1.0	Proteobacteria	0.9	Deltaproteobacteria	0.69	NA	NA	Myxococcales	0.43	Sorangiineae	0.31	Phaselicystidaceae	0.17	Phaselicystis	0.17
BOTU_10192	Bacteria	1.0	Actinobacteria	0.99	Actinobacteria	0.99	Acidimicrobidae	0.98	Acidimicrobiales	0.98	Acidimicrobineae	0.98	Acidimicrobiaceae	0.59	Ferrithrix	0.44
BOTU_10193	Bacteria	1.0	Planctomycetes	0.93	Planctomycetia	0.93	NA	NA	Planctomycetales	0.93	NA	NA	Planctomycetaceae	0.93	Gemmata	0.58
BOTU_10194	Bacteria	1.0	Bacteroidetes	1.0	Sphingobacteriia	1.0	NA	NA	Sphingobacteriales	1.0	NA	NA	Chitinophagaceae	1.0	Chitinophaga	0.94
BOTU_10195	Bacteria	1.0	Planctomycetes	1.0	Planctomycetia	1.0	NA	NA	Planctomycetales	1.0	NA	NA	Planctomycetaceae	1.0	Gemmata	0.75
BOTU_10196	Bacteria	1.0	Chloroflexi	0.21	Caldilineae	0.07	NA	NA	Caldilineales	0.07	NA	NA	Caldilineaceae	0.07	Litorilinea	0.07
BOTU_10197	Bacteria	1.0	Gemmatimonadetes	0.87	Gemmatimonadetes	0.87	NA	NA	Gemmatimonadales	0.87	NA	NA	Gemmatimonadaceae	0.87	Gemmatimonas	0.87
BOTU_10198	Bacteria	1.0	Armatimonadetes	0.98	Armatimonadia	0.98	NA	NA	Armatimonadales	0.98	NA	NA	Armatimonadaceae	0.98	Armatimonas/Armatimonadetes_gp1	0.98
BOTU_10199	Bacteria	1.0	Acidobacteria	0.16	Acidobacteria_Gp4	0.16	NA	NA	NA	NA	NA	NA	NA	NA	Blastocatella	0.09
BOTU_10200	Bacteria	1.0	Chloroflexi	0.37	Thermomicrobia	0.32	NA	NA	Thermomicrobiales	0.3	NA	NA	Thermomicrobiaceae	0.3	Thermorudis	0.19
BOTU_10201	Bacteria	1.0	Proteobacteria	1.0	Betaproteobacteria	0.98	NA	NA	Rhodocyclales	0.39	NA	NA	Rhodocyclaceae	0.39	Methyloversatilis	0.29
BOTU_10202	Bacteria	1.0	Actinobacteria	0.93	Actinobacteria	0.85	Rubrobacteridae	0.84	Solirubrobacterales	0.81	NA	NA	Conexibacteraceae	0.52	Conexibacter	0.52
