SampleID,collectionDate,leadContact,siteID,plotType,fertStatus,plotRep,pseudo_no,xCord,yCord,Description
MMPRNT1559,7/10/2018,Vander Stel,LC,G5,UNFERT,4,2,5.76,3.31,sampleID:  MMPRNT-1559    info: 071018_LC_G5_Rep4_UNFERT_pseudo2
MMPRNT1616,7/16/2018,Vander Stel,HAN,G5,FERT,2,2,4.8,2.68,sampleID:  MMPRNT-1616    info: 071618_HAN_G5_Rep2_FERT_pseudo2
MMPRNT1617,7/16/2018,Vander Stel,HAN,G5,FERT,2,3,2.71,1.99,sampleID:  MMPRNT-1617    info: 071618_HAN_G5_Rep2_FERT_pseudo3
MMPRNT1618,7/16/2018,Vander Stel,HAN,G5,UNFERT,2,1,13.95,0.73,sampleID:  MMPRNT-1618    info: 071618_HAN_G5_Rep2_UNFERT_pseudo1
MMPRNT1619,7/16/2018,Vander Stel,HAN,G5,UNFERT,2,2,10.25,0.77,sampleID:  MMPRNT-1619    info: 071618_HAN_G5_Rep2_UNFERT_pseudo2
MMPRNT1620,7/16/2018,Vander Stel,HAN,G5,UNFERT,2,3,13.1,3.59,sampleID:  MMPRNT-1620    info: 071618_HAN_G5_Rep2_UNFERT_pseudo3
MMPRNT1621,7/16/2018,Vander Stel,HAN,G5,FERT,3,1,4.06,2.71,sampleID:  MMPRNT-1621    info: 071618_HAN_G5_Rep3_FERT_pseudo1
MMPRNT1622,7/16/2018,Vander Stel,HAN,G5,FERT,3,2,2.3,4.17,sampleID:  MMPRNT-1622    info: 071618_HAN_G5_Rep3_FERT_pseudo2
MMPRNT1623,7/16/2018,Vander Stel,HAN,G5,FERT,3,3,8.34,2.02,sampleID:  MMPRNT-1623    info: 071618_HAN_G5_Rep3_FERT_pseudo3
MMPRNT1624,7/16/2018,Vander Stel,HAN,G5,UNFERT,3,1,15.28,1.12,sampleID:  MMPRNT-1624    info: 071618_HAN_G5_Rep3_UNFERT_pseudo1
MMPRNT1625,7/16/2018,Vander Stel,HAN,G5,UNFERT,3,2,17.77,1.31,sampleID:  MMPRNT-1625    info: 071618_HAN_G5_Rep3_UNFERT_pseudo2
MMPRNT1626,7/16/2018,Vander Stel,HAN,G5,UNFERT,3,3,16.84,2.6,sampleID:  MMPRNT-1626    info: 071618_HAN_G5_Rep3_UNFERT_pseudo3
MMPRNT1627,7/16/2018,Vander Stel,HAN,G5,FERT,4,1,3.5,1.54,sampleID:  MMPRNT-1627    info: 071618_HAN_G5_Rep4_FERT_pseudo1
MMPRNT1628,7/16/2018,Vander Stel,HAN,G5,FERT,4,2,5.68,0.76,sampleID:  MMPRNT-1628    info: 071618_HAN_G5_Rep4_FERT_pseudo2
MMPRNT1629,7/16/2018,Vander Stel,HAN,G5,FERT,4,3,1.56,4.62,sampleID:  MMPRNT-1629    info: 071618_HAN_G5_Rep4_FERT_pseudo3
MMPRNT1630,7/16/2018,Vander Stel,HAN,G5,UNFERT,4,1,15.85,0.87,sampleID:  MMPRNT-1630    info: 071618_HAN_G5_Rep4_UNFERT_pseudo1
MMPRNT1631,7/16/2018,Vander Stel,HAN,G5,UNFERT,4,2,14.79,2.06,sampleID:  MMPRNT-1631    info: 071618_HAN_G5_Rep4_UNFERT_pseudo2
MMPRNT1632,7/16/2018,Vander Stel,HAN,G5,UNFERT,4,3,18.33,1.03,sampleID:  MMPRNT-1632    info: 071618_HAN_G5_Rep4_UNFERT_pseudo3
MMPRNT1681,7/23/2018,Vander Stel,RHN,G5,FERT,1,1,1.61,3.37,sampleID:  MMPRNT-1681    info: 7232018_RHN_G5_Rep1_FERT_pseudo1
MMPRNT1682,7/23/2018,Vander Stel,RHN,G5,FERT,1,2,2.04,0.78,sampleID:  MMPRNT-1682    info: 7232018_RHN_G5_Rep1_FERT_pseudo2
MMPRNT1683,7/23/2018,Vander Stel,RHN,G5,FERT,1,3,3.64,5,sampleID:  MMPRNT-1683    info: 7232018_RHN_G5_Rep1_FERT_pseudo3
MMPRNT1684,7/23/2018,Vander Stel,RHN,G5,UNFERT,1,1,15.07,2.41,sampleID:  MMPRNT-1684    info: 7232018_RHN_G5_Rep1_UNFERT_pseudo1
MMPRNT1685,7/23/2018,Vander Stel,RHN,G5,UNFERT,1,2,10.34,5.11,sampleID:  MMPRNT-1685    info: 7232018_RHN_G5_Rep1_UNFERT_pseudo2
MMPRNT1686,7/23/2018,Vander Stel,RHN,G5,UNFERT,1,3,12.1,3.69,sampleID:  MMPRNT-1686    info: 7232018_RHN_G5_Rep1_UNFERT_pseudo3
MMPRNT1687,7/23/2018,Vander Stel,RHN,G5,FERT,2,1,15.03,1.02,sampleID:  MMPRNT-1687    info: 7232018_RHN_G5_Rep2_FERT_pseudo1
MMPRNT1688,7/23/2018,Vander Stel,RHN,G5,FERT,2,2,11.28,1.49,sampleID:  MMPRNT-1688    info: 7232018_RHN_G5_Rep2_FERT_pseudo2
MMPRNT1689,7/23/2018,Vander Stel,RHN,G5,FERT,2,3,18.64,3.25,sampleID:  MMPRNT-1689    info: 7232018_RHN_G5_Rep2_FERT_pseudo3
MMPRNT1690,7/23/2018,Vander Stel,RHN,G5,UNFERT,2,1,17.97,5.05,sampleID:  MMPRNT-1690    info: 7232018_RHN_G5_Rep2_UNFERT_pseudo1
MMPRNT1691,7/23/2018,Vander Stel,RHN,G5,UNFERT,2,2,16.2,4.82,sampleID:  MMPRNT-1691    info: 7232018_RHN_G5_Rep2_UNFERT_pseudo2
MMPRNT1692,7/23/2018,Vander Stel,RHN,G5,UNFERT,2,3,13.35,4.7,sampleID:  MMPRNT-1692    info: 7232018_RHN_G5_Rep2_UNFERT_pseudo3
MMPRNT1693,7/23/2018,Vander Stel,RHN,G5,FERT,3,1,8.01,0.66,sampleID:  MMPRNT-1693    info: 7232018_RHN_G5_Rep3_FERT_pseudo1
MMPRNT1694,7/23/2018,Vander Stel,RHN,G5,FERT,3,2,4.8,3.41,sampleID:  MMPRNT-1694    info: 7232018_RHN_G5_Rep3_FERT_pseudo2
MMPRNT1695,7/23/2018,Vander Stel,RHN,G5,FERT,3,3,2.14,0.72,sampleID:  MMPRNT-1695    info: 7232018_RHN_G5_Rep3_FERT_pseudo3
MMPRNT1696,7/23/2018,Vander Stel,RHN,G5,UNFERT,3,1,15.72,5.17,sampleID:  MMPRNT-1696    info: 7232018_RHN_G5_Rep3_UNFERT_pseudo1
MMPRNT1697,7/23/2018,Vander Stel,RHN,G5,UNFERT,3,2,14.52,1.75,sampleID:  MMPRNT-1697    info: 7232018_RHN_G5_Rep3_UNFERT_pseudo2
MMPRNT1698,7/23/2018,Vander Stel,RHN,G5,UNFERT,3,3,13.55,1.63,sampleID:  MMPRNT-1698    info: 7232018_RHN_G5_Rep3_UNFERT_pseudo3
MMPRNT1699,7/23/2018,Vander Stel,RHN,G5,FERT,4,1,2.24,0.61,sampleID:  MMPRNT-1699    info: 7232018_RHN_G5_Rep4_FERT_pseudo1
MMPRNT1700,7/23/2018,Vander Stel,RHN,G5,FERT,4,2,9.75,4.51,sampleID:  MMPRNT-1700    info: 7232018_RHN_G5_Rep4_FERT_pseudo2
MMPRNT1701,7/23/2018,Vander Stel,RHN,G5,FERT,4,3,5.09,1.18,sampleID:  MMPRNT-1701    info: 7232018_RHN_G5_Rep4_FERT_pseudo3
MMPRNT1702,7/23/2018,Vander Stel,RHN,G5,UNFERT,4,1,14.04,3.05,sampleID:  MMPRNT-1702    info: 7232018_RHN_G5_Rep4_UNFERT_pseudo1
MMPRNT1703,7/23/2018,Vander Stel,RHN,G5,UNFERT,4,2,15.82,3.84,sampleID:  MMPRNT-1703    info: 7232018_RHN_G5_Rep4_UNFERT_pseudo2
MMPRNT1704,7/23/2018,Vander Stel,RHN,G5,UNFERT,4,3,12.98,1.4,sampleID:  MMPRNT-1704    info: 7232018_RHN_G5_Rep4_UNFERT_pseudo3
MMPRNT1753,7/24/2018,Vander Stel,ESC,G5,FERT,1,1,0.75,2.48,sampleID:  MMPRNT-1753    info: 7242018_ESC_G5_Rep1_FERT_pseudo1
MMPRNT1754,7/24/2018,Vander Stel,ESC,G5,FERT,1,2,3.51,3.75,sampleID:  MMPRNT-1754    info: 7242018_ESC_G5_Rep1_FERT_pseudo2
MMPRNT1755,7/24/2018,Vander Stel,ESC,G5,FERT,1,3,2.49,2.05,sampleID:  MMPRNT-1755    info: 7242018_ESC_G5_Rep1_FERT_pseudo3
MMPRNT1756,7/24/2018,Vander Stel,ESC,G5,UNFERT,1,1,5.46,4.2,sampleID:  MMPRNT-1756    info: 7242018_ESC_G5_Rep1_UNFERT_pseudo1
MMPRNT1757,7/24/2018,Vander Stel,ESC,G5,UNFERT,1,2,2.89,0.67,sampleID:  MMPRNT-1757    info: 7242018_ESC_G5_Rep1_UNFERT_pseudo2
MMPRNT1758,7/24/2018,Vander Stel,ESC,G5,UNFERT,1,3,9.14,4.93,sampleID:  MMPRNT-1758    info: 7242018_ESC_G5_Rep1_UNFERT_pseudo3
