>Zotu1102	Query_1102
>Zotu1103	Query_1103
>Zotu1104	Query_1104
>Zotu1105	Query_1105
>Zotu1106	Query_1106
>Zotu1107	Query_1107
>Zotu1108	Query_1108
>Zotu1109	Query_1109
>Zotu1110	Query_1110
>Zotu1111	Query_1111
>Zotu1112	Query_1112
>Zotu1113	Query_1113
>Zotu1114	Query_1114
>Zotu1115	Query_1115
>Zotu1116	Query_1116
>Zotu1117	Query_1117
>Zotu1118	Query_1118
>Zotu1119	Query_1119
>Zotu1120	Query_1120
>Zotu1121	Query_1121
>Zotu1122	Query_1122
>Zotu1123	Query_1123
>Zotu1124	Query_1124
>Zotu1125	Query_1125
>Zotu1126	Query_1126
>Zotu1127	Query_1127
>Zotu1128	Query_1128
>Zotu1129	Query_1129
>Zotu1130	Query_1130
>Zotu1131	Query_1131
>Zotu1132	Query_1132
>Zotu1133	Query_1133
>Zotu1134	Query_1134
>Zotu1135	Query_1135
>Zotu1136	Query_1136
>Zotu1137	Query_1137
>Zotu1138	Query_1138
>Zotu1139	Query_1139
>Zotu1140	Query_1140
>Zotu1141	Query_1141
>Zotu1142	Query_1142
